Transaction Time,From Account,From Bank,To Account,To Bank,Amount,Transaction Type
2024-09-26 06:01:44,222222-0000,ANZ,697372-9654,ANZ,119.86,eating out
2024-09-26 06:01:44,222222-0000,ANZ,360095-5697,BOC,304.38,health
2024-09-26 06:01:44,222222-0000,ANZ,512674-4780,ANZ,467.57,cash
2024-09-27 06:01:44,222222-0000,ANZ,596239-4136,ANZ,351.78,fee & interest
2024-09-27 06:01:44,391356-1545,ANZ,222222-0000,ANZ,421.65,education
2024-09-28 06:01:44,735829-9634,ANZ,222222-0000,ANZ,321.35,entertainment
2024-09-28 06:01:44,222222-0000,ANZ,965345-5414,ANZ,431.49,health
2024-09-28 06:01:44,469106-9841,ANZ,222222-0000,ANZ,355.56,cash
2024-09-29 06:01:44,690457-1739,ANZ,222222-0000,ANZ,110.84,groceries
2024-09-29 06:01:44,222222-0000,ANZ,416261-8281,ANZ,296.16,entertainment
2024-09-29 06:01:44,594292-8656,ANZ,222222-0000,ANZ,168.02,eating out
2024-09-29 06:01:44,987327-1312,ANZ,222222-0000,ANZ,104.8,transport
2024-09-29 06:01:44,222222-0000,ANZ,358449-5376,CommBank,65.78,eating out
2024-09-29 06:01:44,222222-0000,ANZ,676422-7026,ANZ,225.1,education
2024-09-29 06:01:44,222222-0000,ANZ,608547-2650,BOC,136.24,travel
2024-09-30 06:01:44,222222-0000,ANZ,104690-9176,ANZ,297.15,eating out
2024-10-01 06:01:44,222222-0000,ANZ,184255-3134,CommBank,239.82,fee & interest
2024-10-01 06:01:44,839367-9563,ANZ,222222-0000,ANZ,311.36,groceries
2024-10-01 06:01:44,222222-0000,ANZ,268672-7833,ANZ,26.14,transport
2024-10-01 06:01:44,357593-3179,ANZ,222222-0000,ANZ,91.91,eating out
2024-10-02 06:01:44,811915-5809,ANZ,222222-0000,ANZ,424.45,entertainment
2024-10-02 06:01:44,222222-0000,ANZ,453504-4247,CommBank,486.73,entertainment
2024-10-02 06:01:44,753489-2347,ANZ,222222-0000,ANZ,50.85,cash
2024-10-03 06:01:44,710711-1692,ANZ,222222-0000,ANZ,456.94,uncategorised
2024-10-03 06:01:44,222222-0000,ANZ,159145-8485,ANZ,420.12,cash
2024-10-04 06:01:44,222222-0000,ANZ,980632-7262,ANZ,226.72,cash
2024-10-04 06:01:44,721454-4702,ANZ,222222-0000,ANZ,59.86,health
2024-10-05 06:01:44,435578-8218,ANZ,222222-0000,ANZ,223.85,fee & interest
2024-10-05 06:01:44,222222-0000,ANZ,631585-6410,CommBank,54.51,fee & interest
2024-10-06 06:01:44,222222-0000,ANZ,405271-3740,BOC,40.98,groceries
2024-10-06 06:01:44,222222-0000,ANZ,380405-6467,CommBank,150.17,health
2024-10-07 06:01:44,222222-0000,ANZ,662392-2594,CommBank,207.37,cash
2024-10-07 06:01:44,222222-0000,ANZ,529105-5025,ANZ,391.26,uncategorised
2024-10-08 06:01:44,705143-9054,ANZ,222222-0000,ANZ,20.48,transport
2024-10-08 06:01:44,534173-4659,ANZ,222222-0000,ANZ,266.5,entertainment
2024-10-08 06:01:44,222222-0000,ANZ,285049-2014,ANZ,147.22,transport
2024-10-09 06:01:44,222222-0000,ANZ,346147-6460,BOC,428.38,travel
2024-10-09 06:01:44,800782-6595,ANZ,222222-0000,ANZ,438.98,entertainment
2024-10-09 06:01:44,882805-8897,ANZ,222222-0000,ANZ,283.89,cash
2024-10-09 06:01:44,222222-0000,ANZ,758317-9861,ANZ,166.87,health
2024-10-10 06:01:44,825594-4901,ANZ,222222-0000,ANZ,244.83,groceries
2024-10-10 06:01:44,350697-8943,ANZ,222222-0000,ANZ,202.14,entertainment
2024-10-10 06:01:44,517944-8390,ANZ,222222-0000,ANZ,471.13,uncategorised
2024-10-11 06:01:44,222222-0000,ANZ,530828-4995,ANZ,130.52,transport
2024-10-11 06:01:44,136706-9244,ANZ,222222-0000,ANZ,415.22,education
2024-10-11 06:01:44,207615-7039,ANZ,222222-0000,ANZ,295.6,entertainment
2024-10-11 06:01:44,222222-0000,ANZ,563341-2810,CommBank,153.21,eating out
2024-10-11 06:01:44,222222-0000,ANZ,331457-5129,ANZ,217.3,travel
2024-10-11 06:01:44,205998-1589,ANZ,222222-0000,ANZ,173.77,education
2024-10-11 06:01:44,222222-0000,ANZ,368118-5062,CommBank,463.65,travel
2024-10-11 06:01:44,222222-0000,ANZ,686801-9511,BOC,237.39,fee & interest
2024-10-12 06:01:44,222222-0000,ANZ,950379-3388,ANZ,199.55,eating out
2024-10-12 06:01:44,222222-0000,ANZ,143858-5713,CommBank,138.0,uncategorised
