Transaction Time,From Account,From Bank,To Account,To Bank,Amount,Transaction Type
2024-09-26 06:01:44,668680-2331,CommBank,111111-0000,CommBank,431.46,eating out
2024-09-26 06:01:44,111111-0000,CommBank,217788-9106,BOC,449.87,eating out
2024-09-26 06:01:44,171712-8276,CommBank,111111-0000,CommBank,177.26,eating out
2024-09-26 06:01:44,111111-0000,CommBank,910239-8024,CommBank,291.12,uncategorised
2024-09-26 06:01:44,365712-8918,CommBank,111111-0000,CommBank,302.75,travel
2024-09-27 06:01:44,111111-0000,CommBank,566758-3570,CommBank,60.28,education
2024-09-27 06:01:44,111111-0000,CommBank,485202-3724,ANZ,184.68,fee & interest
2024-09-28 06:01:44,111111-0000,CommBank,894006-8301,ANZ,102.33,uncategorised
2024-09-29 06:01:44,897895-8604,CommBank,111111-0000,CommBank,451.24,fee & interest
2024-09-29 06:01:44,111111-0000,CommBank,123455-2003,ANZ,257.1,travel
2024-09-29 06:01:44,111111-0000,CommBank,729196-2226,ANZ,496.85,travel
2024-09-30 06:01:44,932221-4424,CommBank,111111-0000,CommBank,269.99,health
2024-09-30 06:01:44,111111-0000,CommBank,571931-3664,ANZ,151.89,fee & interest
2024-10-01 06:01:44,649231-9317,CommBank,111111-0000,CommBank,494.78,transport
2024-10-01 06:01:44,111111-0000,CommBank,335270-5761,CommBank,439.45,transport
2024-10-01 06:01:44,721951-4700,CommBank,111111-0000,CommBank,46.82,entertainment
2024-10-01 06:01:44,427563-4708,CommBank,111111-0000,CommBank,386.7,eating out
2024-10-01 06:01:44,219985-4119,CommBank,111111-0000,CommBank,91.86,eating out
2024-10-01 06:01:44,111111-0000,CommBank,223062-9825,ANZ,56.18,education
2024-10-02 06:01:44,111111-0000,CommBank,352590-3940,ANZ,283.7,health
2024-10-02 06:01:44,873411-8811,CommBank,111111-0000,CommBank,13.96,entertainment
2024-10-02 06:01:44,111111-0000,CommBank,286649-6973,BOC,353.09,travel
2024-10-03 06:01:44,175958-1905,CommBank,111111-0000,CommBank,385.32,travel
2024-10-03 06:01:44,111111-0000,CommBank,479561-7185,CommBank,185.86,uncategorised
2024-10-03 06:01:44,111111-0000,CommBank,313540-9363,CommBank,78.91,travel
